user_id,age,gender,height_cm,weight_kg,steps,calories_burned,workout_type,workout_duration_minutes,heart_rate,sleep_hours,water_intake_liters,date,activity_level
1102,29.0,Unknown,198.0,94.0,10814.5,306.0,Strength,65.0,126.0,4.2,2.2,2023-01-01 00:00:00,High
1435,42.0,Male,189.0,109.0,15378.0,238.0,Cardio,72.0,80.0,5.3,2.8,2023-01-01 00:00:00,High
1860,37.0,Female,184.0,47.0,19835.0,351.0,Yoga,112.0,77.0,6.5,1.3,2023-01-01 02:00:00,High
1270,54.0,Male,140.0,96.0,19336.0,611.0,HIIT,48.0,181.0,6.5,1.5,2023-01-01 03:00:00,High
1106,54.0,Unknown,183.0,54.0,5700.0,630.0,cardio,16.0,88.0,9.5,2.2390315789473685,2023-01-01 04:00:00,Medium
1071,16.0,Female,159.0,65.0,14901.0,706.0,cardio,23.0,132.0,4.5,2.4,2023-01-01 05:00:00,High
1700,32.0,Male,191.0,81.0,50000.0,603.0,Unknown,99.0,120.0,5.5,0.6,2023-01-01 06:00:00,High
1020,56.0,Female,160.0,59.0,18699.0,619.0,Cardio,27.0,58.0,5.3,2.8,2023-01-01 07:00:00,High
1614,45.0,Unknown,176.0,53.0,8381.0,529.0,Cardio,64.0,71.0,4.7,2.7,2023-01-01 08:00:00,Medium
1121,28.0,Female,147.0,88.0,3919.0,550.0,Cardio,65.0,176.0,10.0,0.8,2023-01-01 09:00:00,Low
1466,36.0,Female,166.0,83.0,19456.0,228.0,Yoga,97.0,51.0,5.7,3.1,2023-01-01 10:00:00,High
1214,34.0,Male,186.0,49.0,19403.0,700.0,cardio,66.0,140.0,9.6,2.3,2023-01-01 11:00:00,High
1330,34.0,Male,198.0,69.0,50000.0,535.0,Unknown,67.0,65.0,5.7,1.2,2023-01-01 12:00:00,High
1458,40.0,Female,169.0,100.0,1815.0,492.0,Yoga,34.0,54.0,4.4,2.5,2023-01-01 13:00:00,Low
1087,37.0,Female,145.0,108.0,15510.0,594.0,Unknown,105.0,189.0,3.8,2.6,2023-01-01 14:00:00,High
1372,46.0,Female,199.0,96.0,13289.0,201.0,Yoga,79.0,64.0,6.5,3.7,2023-01-01 15:00:00,High
1099,32.0,Female,184.0,53.0,5734.0,400.0,HIIT,89.0,116.0,3.2,3.1,2023-01-01 16:00:00,Medium
1871,38.0,Female,183.0,54.0,3753.0,478.0,Unknown,12.0,122.0,9.8,1.6,2023-01-01 17:00:00,Low
1663,47.0,Unknown,158.0,54.0,7505.0,643.0,Yoga,30.0,141.0,5.9,0.9,2023-01-01 18:00:00,Medium
1661,25.0,Male,195.0,104.0,15905.0,608.0,Strength,11.0,149.0,7.3,3.5,2023-01-01 20:00:00,High
