User_ID,Age,Gender,Height_cm,Weight_kg,Steps,Calories_Burned,Workout_Type,Workout_Duration_Minutes,Heart_Rate,Sleep_Hours,Water_Intake_Liters,Date
1102,29,,198,94,,306,Strength,65,,4.2,2.2,2023-01-01 00:00:00
1435,42,male,189,109,15378,238,Cardio,72,80,5.3,2.8,
1860,,Female,184,47,19835,351,Yoga,112,77,,1.3,2023-01-01 02:00:00
1270,54,male,140,96,19336,611,HIIT,48,181,6.5,1.5,2023-01-01 03:00:00
1106,54,,183,54,5700,630,cardio,16,88,9.5,,2023-01-01 04:00:00
1071,16,Female,159,65,14901,706,cardio,23,132,4.5,2.4,2023-01-01 05:00:00
1700,32,Male,191,81,50000,603,,99,120,5.5,0.6,2023-01-01 06:00:00
1020,56,Female,160,59,18699,619,Cardio,27,58,5.3,2.8,2023-01-01 07:00:00
1614,45,,176,53,8381,529,Cardio,64,71,4.7,2.7,2023-01-01 08:00:00
1121,28,F,147,88,3919,550,Cardio,65,176,10,0.8,2023-01-01 09:00:00
1466,36,Female,166,83,19456,228,Yoga,97,51,5.7,3.1,2023-01-01 10:00:00
1214,34,male,186,49,19403,700,cardio,66,140,9.6,2.3,2023-01-01 11:00:00
1330,34,male,198,69,50000,535,,67,65,5.7,1.2,2023-01-01 12:00:00
1458,40,Female,,100,1815,492,Yoga,34,54,4.4,2.5,2023-01-01 13:00:00
1087,37,F,145,108,15510,594,,105,189,3.8,2.6,2023-01-01 14:00:00
1372,46,Female,199,96,13289,201,Yoga,79,64,,3.7,2023-01-01 15:00:00
1099,32,F,184,53,5734,400,HIIT,89,116,3.2,3.1,2023-01-01 16:00:00
1871,38,F,183,54,3753,478,,12,122,9.8,1.6,2023-01-01 17:00:00
1663,47,,158,54,7505,643,Yoga,30,141,5.9,0.9,2023-01-01 18:00:00
,,male,157,,12559,499,HIIT,41,112,,3.5,2023-01-01 19:00:00
1661,25,male,195,104,15905,608,Strength,11,149,7.3,3.5,2023-01-01 20:00:00
,51,F,140,63,5685,647,HIIT,29,74,3.9,1.1,
1769,23,male,164,82,17585,274,Cardio,84,90,3.5,0.7,2023-01-01 22:00:00
1343,35,Male,166,50,18388,353,Strength,,77,8.8,3,2023-01-01 23:00:00
1491,47,F,146,59,18696,792,cardio,63,160,6,3,2023-01-02 00:00:00
1413,29,male,183,91,19409,170,,84,70,6.6,1.1,2023-01-02 01:00:00
1805,43,Male,,89,12765,739,Yoga,108,,4.2,2.8,2023-01-02 02:00:00
1385,39,,168,49,5221,712,Strength,45,152,3.4,1.5,2023-01-02 03:00:00
1191,30,male,170,97,16327,511,cardio,111,188,5.6,1.4,2023-01-02 04:00:00
1955,37,Male,183,106,4671,510,HIIT,85,196,6.5,1.6,2023-01-02 05:00:00
1276,45,Female,182,,5941,265,HIIT,70,124,8.4,2.3,2023-01-02 06:00:00
1160,19,Female,175,88,13466,204,Cardio,69,50,6.5,3.3,2023-01-02 07:00:00
1459,28,Male,158,96,18988,441,Cardio,104,158,8.5,2.2,2023-01-02 08:00:00
1313,38,F,145,90,19286,200,Strength,45,126,3.8,1.5,2023-01-02 09:00:00
1021,23,F,164,63,13191,403,,,66,3.4,3.6,2023-01-02 10:00:00
1252,33,male,170,91,5588,641,Yoga,53,160,4.1,0.7,
1747,27,Female,,96,11811,722,HIIT,77,68,8.4,3.3,2023-01-02 12:00:00
1856,46,F,159,68,19733,374,Strength,75,123,,3.2,2023-01-02 13:00:00
1560,29,F,149,61,8928,618,Strength,,108,4,1.4,2023-01-02 14:00:00
1474,49,,176,90,50000,252,,86,164,3.2,1.2,2023-01-02 15:00:00
1058,,,,108,8120,197,Strength,,87,7.8,3.6,2023-01-02 16:00:00
1510,49,F,152,72,,491,Cardio,38,80,9,2.5,2023-01-02 17:00:00
1681,,Male,180,,5719,382,,57,155,8.3,,2023-01-02 18:00:00
1475,56,male,141,108,9081,,HIIT,45,160,4.4,3.6,2023-01-02 19:00:00
1699,27,F,,72,15550,708,Cardio,101,99,7.1,1.7,2023-01-02 20:00:00
1975,30,F,160,100,17354,377,Cardio,17,175,8.3,1.7,2023-01-02 21:00:00
1782,46,,172,,11864,671,,14,152,4.8,2.8,2023-01-02 22:00:00
1189,44,Male,163,49,17931,741,,105,108,6.7,2.8,2023-01-02 23:00:00
1957,41,male,192,98,13624,162,Strength,103,170,5.2,1.7,2023-01-03 00:00:00
1686,33,F,183,88,4361,648,cardio,87,194,4.6,1,2023-01-03 01:00:00
,47,male,181,86,14707,,cardio,56,144,9.8,2.4,2023-01-03 02:00:00
1562,37,Female,173,101,2924,489,cardio,52,198,9.4,2.7,2023-01-03 03:00:00
1875,53,F,199,91,13647,473,Strength,19,143,6.1,3.5,2023-01-03 04:00:00
1566,32,F,148,69,7681,745,Yoga,19,101,4,2.2,2023-01-03 05:00:00
1243,38,Female,141,88,,747,HIIT,15,191,8.1,2.8,2023-01-03 06:00:00
1831,39,,194,59,15175,306,Strength,25,65,4.8,0.7,2023-01-03 07:00:00
1504,23,F,195,95,11122,724,,69,104,4.2,3.6,2023-01-03 08:00:00
1130,56,male,169,97,17805,580,Cardio,35,186,5.7,1.6,2023-01-03 09:00:00
1484,21,Male,,78,17719,704,cardio,30,185,6.7,2.7,2023-01-03 10:00:00
1818,20,male,185,,10718,556,,109,158,3.7,3.7,2023-01-03 11:00:00
1646,59,,150,65,1056,307,Strength,67,143,7,3.3,2023-01-03 12:00:00
1020,44,Male,194,51,14973,334,Yoga,50,56,3.1,2.7,2023-01-03 13:00:00
1840,43,male,182,100,16352,640,HIIT,115,198,9.2,3,2023-01-03 14:00:00
1166,26,male,156,93,16052,685,Yoga,39,182,9.4,3.7,2023-01-03 15:00:00
1273,16,Female,175,86,4147,506,Strength,14,189,8.1,3.3,2023-01-03 16:00:00
1387,58,,152,67,,511,Strength,19,130,6.3,2.6,2023-01-03 17:00:00
1600,34,Female,146,96,1721,373,,104,137,4.8,2.8,2023-01-03 18:00:00
1315,24,Male,155,97,13269,762,Yoga,20,,8.2,1,2023-01-03 19:00:00
1013,42,,172,60,17769,353,Cardio,111,132,9.5,2.1,2023-01-03 20:00:00
1241,49,,184,81,8426,157,,72,94,4.1,1.6,2023-01-03 21:00:00
1776,59,F,140,62,14788,621,Yoga,16,129,6.3,2,
1345,19,F,150,64,15007,321,cardio,68,74,5.2,2.8,2023-01-03 23:00:00
1564,51,Male,145,90,12079,245,,21,76,5.5,1,2023-01-04 00:00:00
1897,33,,159,,15346,757,cardio,73,100,5.8,,2023-01-04 01:00:00
1339,30,Female,174,107,8115,455,Yoga,118,168,9.7,1.9,2023-01-04 02:00:00
1091,28,Male,183,47,11911,407,Cardio,50,157,4.8,1.6,2023-01-04 03:00:00
1366,34,,176,,1259,623,cardio,69,109,6.4,2,2023-01-04 04:00:00
1955,21,,180,93,9791,449,Strength,81,121,9.7,3.8,2023-01-04 05:00:00
1454,27,Male,165,45,8536,614,HIIT,37,129,6.3,3,2023-01-04 06:00:00
1427,52,male,197,66,9947,763,Cardio,89,121,9,1.6,2023-01-04 07:00:00
1508,32,male,151,58,12769,477,,72,145,3.4,1.1,2023-01-04 08:00:00
1775,38,Male,169,89,11950,259,,,175,9.7,2.7,2023-01-04 09:00:00
1942,41,F,167,50,17860,278,Yoga,110,199,4.3,2.8,
1034,44,male,166,109,6283,286,,41,,9.9,2.2,2023-01-04 11:00:00
1205,48,,181,65,10791,688,HIIT,30,188,4.2,1.2,2023-01-04 12:00:00
,42,Female,158,48,3359,798,HIIT,64,158,6.1,0.6,2023-01-04 13:00:00
1931,40,male,144,47,8405,313,Strength,118,55,5.2,1.4,2023-01-04 14:00:00
1561,25,Male,197,74,18645,498,,27,,6,,2023-01-04 15:00:00
1871,38,F,144,75,,612,Cardio,62,152,4.8,3.3,2023-01-04 16:00:00
1387,36,Female,180,78,7323,,HIIT,119,61,9.8,3.5,2023-01-04 17:00:00
1001,36,male,166,64,6937,653,Cardio,84,76,5.1,1.9,2023-01-04 18:00:00
1389,58,F,167,98,18966,300,Strength,70,178,7.6,3.3,2023-01-04 19:00:00
1565,28,F,165,69,12030,395,Yoga,59,129,4,4,2023-01-04 20:00:00
1105,52,F,166,,18882,259,HIIT,17,109,8.8,3,2023-01-04 21:00:00
1771,48,Male,191,82,14003,734,HIIT,21,165,6.8,3.1,2023-01-04 22:00:00
1821,39,,188,67,11578,424,HIIT,60,119,9.9,3.7,2023-01-04 23:00:00
1476,59,F,181,96,13979,216,,75,197,,1.7,2023-01-05 00:00:00
1702,26,Female,,101,3209,199,Cardio,50,85,4.4,0.5,2023-01-05 01:00:00
1401,32,male,140,101,13060,664,HIIT,31,178,5.4,4,2023-01-05 02:00:00
1729,19,Female,193,96,8228,375,Cardio,18,101,8.2,2.2,2023-01-05 03:00:00
1555,40,Male,167,79,10300,727,,87,179,7.6,,2023-01-05 04:00:00
1161,45,Male,187,58,9681,655,cardio,88,198,8.4,3.3,2023-01-05 05:00:00
1201,24,Female,197,58,9196,304,,20,186,3.5,1.9,2023-01-05 06:00:00
1957,36,,197,77,9267,629,Cardio,22,160,7.1,2.4,2023-01-05 07:00:00
1995,35,Male,154,96,,260,,65,137,9.5,2.4,2023-01-05 08:00:00
1269,34,Male,194,45,7150,632,cardio,37,,3.8,1.3,2023-01-05 09:00:00
1862,34,Female,156,78,11920,423,Strength,98,154,3.7,0.9,2023-01-05 10:00:00
1815,27,Male,165,63,17001,304,Strength,73,91,8,2.4,2023-01-05 11:00:00
1270,52,,159,68,17856,316,cardio,110,143,5.2,0.9,2023-01-05 12:00:00
1455,57,,164,48,16147,168,Yoga,73,94,7.6,1.7,2023-01-05 13:00:00
1461,32,,152,80,18221,494,Cardio,79,179,6.8,1.2,2023-01-05 14:00:00
,52,male,172,102,2186,718,cardio,64,153,9.9,3,2023-01-05 15:00:00
1251,54,,164,76,7461,443,,46,156,9.2,3.6,2023-01-05 16:00:00
1701,43,,147,53,18865,794,,42,195,7.7,2.5,2023-01-05 17:00:00
1295,56,male,144,64,12464,611,cardio,34,88,4.8,1.9,2023-01-05 18:00:00
1724,50,F,145,106,15052,487,Strength,32,183,4.8,4,2023-01-05 19:00:00
,33,Male,,102,8332,601,,69,76,9.2,0.6,2023-01-05 20:00:00
1748,29,,191,66,17615,493,Yoga,65,192,7.1,1.6,
1337,50,Male,169,92,,780,Cardio,72,68,8.5,1.5,
1878,59,Female,153,52,6239,,Yoga,17,113,6.1,1.7,2023-01-05 23:00:00
1052,56,Male,193,59,18333,538,Strength,,100,3.7,1.3,2023-01-06 00:00:00
1791,22,male,162,76,11078,376,HIIT,104,106,5.3,1.4,2023-01-06 01:00:00
1921,56,Male,150,97,8038,435,HIIT,99,69,4.1,1.4,2023-01-06 02:00:00
1216,28,Male,170,48,9048,433,Cardio,66,69,,2.3,2023-01-06 03:00:00
1763,33,Male,145,74,15954,258,,84,131,7.9,1.9,2023-01-06 04:00:00
1187,52,F,150,57,3297,284,Strength,71,150,3.6,2.7,2023-01-06 05:00:00
1379,28,F,152,65,18691,440,Cardio,103,87,7.3,2.3,2023-01-06 06:00:00
,,Female,151,85,13703,764,,20,87,9.1,1.1,2023-01-06 07:00:00
,46,male,193,63,3779,657,Cardio,76,114,7.9,3.3,2023-01-06 08:00:00
1156,17,Male,141,92,14706,778,Cardio,49,125,6.6,2.2,2023-01-06 09:00:00
1014,31,Male,,107,14225,178,Yoga,49,182,5.2,1,2023-01-06 10:00:00
1812,24,Male,174,64,8318,543,,65,,9.2,1.1,
1064,24,Male,194,108,14531,176,Strength,62,174,6,3.3,2023-01-06 12:00:00
1856,53,F,175,,6335,616,,94,76,9,3,2023-01-06 13:00:00
1838,26,Female,156,75,10530,,,108,152,8.5,2.3,2023-01-06 14:00:00
1520,37,,167,,8502,703,cardio,37,69,8.7,1.6,2023-01-06 15:00:00
,48,male,167,64,2649,594,Cardio,95,109,9.9,,2023-01-06 16:00:00
1128,51,Male,161,55,14472,373,HIIT,51,132,8.2,2.7,2023-01-06 17:00:00
1647,38,Female,177,88,3862,612,Yoga,55,55,3.2,3.6,2023-01-06 18:00:00
1471,49,,146,108,1917,170,Strength,27,161,4.4,2.4,2023-01-06 19:00:00
1062,24,Female,154,78,13444,536,Strength,,188,3.2,1.5,2023-01-06 20:00:00
1138,39,F,171,109,9353,797,cardio,35,163,4.3,0.6,2023-01-06 21:00:00
1498,23,,150,99,6449,475,Yoga,108,133,3.4,1.1,2023-01-06 22:00:00
